1,2,3,4,5,6,11,22,33,44,55,66,111,222,333,444,555,666,1111,2222,3333,4444,5555,6666,10,20,30,40,50,60
100.0,50.0,66.0,76.0,100.0,86.0,100.0,100.0,100.0,90.0,100.0,94.0,100.0,100.0,100.0,90.0,100.0,94.0,20.0,50.0,28.0,100.0,50.0,66.0,25.0,50.0,33.0,0.0,0.0,0.0
100.0,50.0,66.0,76.0,100.0,86.0,100.0,100.0,100.0,62.0,100.0,76.0,40.0,100.0,57.0,28.0,100.0,43.0,33.0,100.0,49.0,16.0,50.0,24.0,16.0,50.0,24.0,0.0,0.0,0.0
100.0,50.0,66.0,76.0,100.0,86.0,100.0,50.0,66.0,90.0,100.0,94.0,12.0,50.0,19.0,83.0,100.0,90.0,10.0,50.0,16.0,50.0,70.0,58.0,8.0,50.0,13.0,0.0,0.0,0.0
33.0,100.0,49.0,83.0,100.0,90.0,40.0,100.0,57.0,62.0,100.0,76.0,66.0,100.0,79.0,100.0,100.0,100.0,16.0,50.0,24.0,100.0,20.0,33.0,25.0,50.0,33.0,0.0,0.0,0.0
33.0,100.0,49.0,83.0,100.0,90.0,25.0,100.0,40.0,90.0,100.0,94.0,25.0,100.0,40.0,90.0,100.0,94.0,33.0,100.0,49.0,19.0,40.0,25.0,16.0,50.0,24.0,0.0,0.0,0.0
33.0,100.0,49.0,83.0,100.0,90.0,20.0,100.0,33.0,100.0,100.0,100.0,8.0,50.0,13.0,76.0,100.0,86.0,10.0,50.0,16.0,46.0,60.0,52.0,8.0,50.0,13.0,0.0,0.0,0.0
3.0,50.0,5.0,0.0,0.0,0.0,4.0,50.0,7.0,0.0,0.0,0.0,12.0,50.0,19.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,25.0,50.0,33.0,0.0,0.0,0.0
3.0,50.0,5.0,0.0,0.0,0.0,4.0,50.0,7.0,0.0,0.0,0.0,6.0,50.0,10.0,0.0,0.0,0.0,11.0,50.0,18.0,0.0,0.0,0.0,16.0,50.0,24.0,0.0,0.0,0.0
3.0,50.0,5.0,0.0,0.0,0.0,4.0,50.0,7.0,0.0,0.0,0.0,5.0,50.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,50.0,13.0,0.0,0.0,0.0
