1,2,3,4,5,6,11,22,33,44,55,66,111,222,333,444,555,666,1111,2222,3333,4444,5555,6666,10,20,30,40,50,60
0.0,0.0,0.0,100.0,16.0,27.0,0.0,0.0,0.0,100.0,24.0,38.0,0.0,0.0,0.0,100.0,21.0,34.0,0.0,0.0,0.0,100.0,22.0,36.0,0.0,0.0,0.0,100.0,34.0,50.0
0.0,0.0,0.0,100.0,16.0,27.0,0.0,0.0,0.0,100.0,21.0,34.0,0.0,0.0,0.0,100.0,6.0,11.0,0.0,0.0,0.0,66.0,12.0,20.0,0.0,0.0,0.0,61.0,13.0,21.0
0.0,0.0,0.0,100.0,16.0,27.0,7.0,100.0,13.0,100.0,22.0,36.0,0.0,0.0,0.0,100.0,16.0,27.0,0.0,0.0,0.0,100.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,100.0,49.0,100.0,10.0,18.0,25.0,100.0,40.0,100.0,15.0,26.0,33.0,100.0,49.0,100.0,30.0,46.0,0.0,0.0,0.0,100.0,29.0,44.0,0.0,0.0,0.0,100.0,34.0,50.0
33.0,100.0,49.0,100.0,10.0,18.0,16.0,100.0,27.0,100.0,14.0,24.0,14.0,100.0,24.0,100.0,17.0,29.0,0.0,0.0,0.0,65.0,13.0,21.0,0.0,0.0,0.0,61.0,13.0,21.0
33.0,100.0,49.0,100.0,10.0,18.0,14.0,100.0,24.0,100.0,13.0,23.0,9.0,100.0,16.0,100.0,18.0,30.0,0.0,0.0,0.0,88.0,16.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,5.0,9.0,0.0,0.0,0.0,81.0,9.0,16.0,0.0,0.0,0.0,100.0,27.0,42.0,0.0,0.0,0.0,100.0,34.0,50.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,4.0,7.0,0.0,0.0,0.0,47.0,8.0,13.0,0.0,0.0,0.0,68.0,13.0,21.0,0.0,0.0,0.0,61.0,13.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,3.0,0.0,0.0,0.0,66.0,6.0,11.0,0.0,0.0,0.0,91.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
