1,2,3,4,5,6,11,22,33,44,55,66,111,222,333,444,555,666,1111,2222,3333,4444,5555,6666,10,20,30,40,50,60
100.0,100.0,100.0,76.0,100.0,86.0,100.0,100.0,100.0,90.0,100.0,94.0,50.0,100.0,66.0,83.0,50.0,62.0,50.0,50.0,50.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0
100.0,100.0,100.0,76.0,100.0,86.0,100.0,100.0,100.0,71.0,100.0,83.0,40.0,100.0,57.0,55.0,50.0,52.0,40.0,100.0,57.0,100.0,50.0,66.0,25.0,50.0,33.0,0.0,0.0,0.0
100.0,100.0,100.0,76.0,100.0,86.0,100.0,100.0,100.0,90.0,100.0,94.0,12.0,50.0,19.0,90.0,100.0,94.0,9.0,50.0,15.0,33.0,20.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,100.0,49.0,76.0,100.0,86.0,40.0,100.0,57.0,90.0,100.0,94.0,100.0,100.0,100.0,90.0,100.0,94.0,33.0,50.0,39.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0
33.0,100.0,49.0,76.0,100.0,86.0,33.0,100.0,49.0,90.0,100.0,94.0,28.0,100.0,43.0,90.0,100.0,94.0,33.0,100.0,49.0,100.0,10.0,18.0,25.0,50.0,33.0,0.0,0.0,0.0
33.0,100.0,49.0,76.0,100.0,86.0,28.0,100.0,43.0,90.0,100.0,94.0,15.0,100.0,26.0,76.0,100.0,86.0,11.0,50.0,18.0,54.0,60.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,50.0,7.0,0.0,0.0,0.0,5.0,50.0,9.0,0.0,0.0,0.0,9.0,50.0,15.0,0.0,0.0,0.0,100.0,50.0,66.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0
4.0,50.0,7.0,0.0,0.0,0.0,4.0,50.0,7.0,0.0,0.0,0.0,5.0,50.0,9.0,0.0,0.0,0.0,14.0,50.0,21.0,0.0,0.0,0.0,25.0,50.0,33.0,0.0,0.0,0.0
4.0,50.0,7.0,0.0,0.0,0.0,4.0,50.0,7.0,0.0,0.0,0.0,4.0,50.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
